image,success,text_regions,avg_confidence,medical_confidence,is_medical,drug_terms,prescription_terms,dosages_found,frequencies_found,durations_found,text_preview
82.jpg,True,48,0.5,High,True,3,3,0,0,0,Balu Zo b e4 Weight Luug EMI 4(24 Waist Circum Hetott 54 Pulse Resp B.P : Temp General Examination Allergies Clinical Diagnosis & Management Plan Hist...
83.jpg,True,37,0.6,High,True,4,6,0,0,0,Date: Li4o_20to Aptus Medical Arts WE Hansen 123 Homestead PL Suite 2 1 Searchlight; NV 89046 Name: Iyeeteive (MJF Age: 51 Address: MilkLmi_RL Wt: L R...
84.jpg,True,108,0.5,High,True,8,6,0,0,0,"RBBshFc9s Siddicino; Bhani Dr: Raja Yasser Shahbaz Dr: Talha Khalid (Modicine) MBBS; FCPS (Medicine) MBBS MD (USA), FCPS (Medicine) For appointment  C..."
85.jpg,True,72,0.5,High,True,4,6,0,0,0,Raiv 0kuiiie Gd QFAA A/huuath3|F0 2[ 470` 22a Tel J 20-Jan-2020 5 07 PM Order Date na FIRECP/O| 05-06 F-1OA Rajiv Gandhi Cancer Institute C Greenor Ce...
86.jpg,True,17,0.3,Low,False,1,0,0,0,0,"4 ( _ 3 - 0z 82 Garc]> Z76 74 Tn Geh f"" TSaeh 1? c AMex26 Kbh+m n 6~~"
87.jpg,True,41,0.4,High,True,5,1,0,1,0,"NMelh = Cytct Pancreas VCH Spleen: Right kidnex: 4 x 2 45  3 Kidney"" 'i3e qiaised   echogColcily Left kidney x2m dbegrcea LOCT,oD> 0O eenal calculi Qi..."
88.jpg,True,64,0.5,Moderate,True,4,0,1,0,0,RADIO LSEA Confirming USA our QSO of:_ 13 20_ AT 214 UTC Mode 334 0 ON_ [d T> MHz RST_ S HAM ALOHAe AxCvR OTHER 722 www.arrlorg OUTPUT 1zZ WATTS ANT 1...
89.jpg,True,37,0.4,High,True,5,5,0,0,0,MEDICAL CENTER HOSPITAL s00 - {0J wYATH STREET ODESSA TEXAS Pn.JJ* TMMf FOR_ Pawn AGe_ AdDreSS lmuuAt4 DATE 4lex Zendi 20*% # 120 NO REFILLS 866 ~ Fem...
9.jpg,True,34,0.8,High,True,3,8,3,0,0,"C.O. Jones 25 El Caro Street Pleasantville, OH 43320 Date March I0 , 2009 Patient Name: Joseph Mc Intyre Address: DOB: 12/ 26/1998 Allergies: NKda Wei..."
90.jpg,True,46,0.4,High,True,3,4,0,0,0,Dr B. Who Farmstreel 12 Kirkville lel; 3876 RT date ~tv 49 4 Paneetanve Sod ms hk; dn Md 20 S . ht. 4 sect 20 Mh atk~ 0 mehclv % mebeevnanv'oe 10 m% 0...
91.jpg,True,89,0.5,High,True,6,2,1,0,0,ziR1a Tonsils GR Ffqi Salivari Glands Tiillz rifti Sranial Nerves D4l- Nwuo( Neok 2TT Thyroid TTHTHI 4rr Lympth Nodes Gushsl 87) 84/a/x Thorax 707 PTi...
92.jpg,True,39,0.2,High,True,5,1,0,0,0,"IAO Ucm MMCreperal Medicine y ""MOncuhum Gretnetal Phyucian No MT NaspoRs Mutule "" 4187s (Kob is/yp0*( M  Veukalushwax Mpu kpholivi X Leks Lypesowal IV..."
93.jpg,True,14,0.3,Moderate,True,2,0,0,0,0,Rp: 50% Mck 2+7 202 Ilaztria .3 3o^ dGu _ htl 16 mkbs %h Jss. pb4 890
94.jpg,True,38,0.7,High,True,4,2,1,0,0,"CHUS Centre hospitalier universitaire de Sherbrooke 819 346-1110 Hotel Dieu Hopital Fleurimont 580, rue Bowen Sud 3001, 12e avenue Nord Sherbrooke (Qc..."
95.jpg,True,69,0.5,High,True,4,4,0,0,0,"DR. SAMPURNA GHOSH Consultant ENT, Head und Neck Surgaon Slneo (Snoring) Endoacoplc Sinus Surgory Speclaliat In MBBS; MS UMRO643469 Name BABYRITI DUBE..."
96.jpg,True,33,0.8,High,True,6,8,1,1,1,"PEDIATRICS UNLIMITED 1000 University Drive Wellington, NM 88230 Date March I0, 2009 Patient Name: Kevin Zadnick Address: DOB: July 28 . 09 Allergies: ..."
97.jpg,True,28,0.7,High,True,6,6,0,3,0,"RIVERSIDE MEDICAL CENTRE 824 [4"" Street New York; NY 91743. USA NAME JeLa Sotl AGE 34 ADDRESS 162 St_M DATE 02-1IZ Betaloc IOO~3 +45 Bid Dorzolamizvm ..."
98.jpg,True,38,0.4,High,True,3,5,0,0,0,D4 - (efu (zo1( RAMAIAH PATIENT DATE Memorial Hospltal PRESCRIPTION suf4edzu CGW4-262 Namre Shaileka_kamal Hosp. No: PKQQ22)LOl_ Age Sex R Inj PeMbESI...
99.jpg,True,68,0.2,Moderate,True,3,1,2,0,0,"ManipalHospitals LIFtBC' U, Loiluih Wniorll) waxf Mi Akeula Vahliv Beln Kopulit No: Auu 5812675 Gny #idh c o ""$ pan ? fuual (4n , L du€L O1L ""s/4"" Iah..."
